,user_id,Recency,Frequency,Monetary
83,USER_00194,186,1,6400.05
84,USER_00196,241,1,1886.18
85,USER_00199,111,1,4103.37
86,USER_00202,171,2,2751.97
87,USER_00205,73,1,1543.44
88,USER_00206,42,1,396.25
89,USER_00207,291,1,3735.59
90,USER_00210,35,1,4800.64
91,USER_00219,120,1,7396.18
92,USER_00225,214,1,1752.92
93,USER_00226,95,1,4615.49
94,USER_00228,104,1,3023.19
95,USER_00233,266,1,2414.71
96,USER_00238,326,1,9163.99
97,USER_00239,9,2,11781.24
98,USER_00240,222,1,161.51
99,USER_00242,340,1,2151.26
100,USER_00243,68,1,3712.92
101,USER_00245,283,1,4648.68
102,USER_00246,335,1,4317.53
103,USER_00249,307,1,6885.4
104,USER_00253,169,1,5682.54
105,USER_00257,336,2,3309.2200000000003
106,USER_00258,58,1,1364.96
107,USER_00265,356,1,7838.24
108,USER_00276,192,1,3490.74
109,USER_00277,281,1,407.27
110,USER_00278,178,1,2681.78
111,USER_00282,230,1,9410.86
112,USER_00283,140,1,6036.9
113,USER_00286,267,1,7107.09
114,USER_00287,315,1,1939.17
115,USER_00290,32,1,4724.63
116,USER_00293,210,1,139.64
117,USER_00294,3,2,9967.26
118,USER_00295,126,2,7205.49
119,USER_00296,140,2,4646.18
120,USER_00301,352,1,5909.45
121,USER_00304,134,1,7731.63
122,USER_00306,329,1,5258.46
123,USER_00308,224,1,2708.77
124,USER_00309,191,1,3723.94
125,USER_00314,328,1,5843.59
126,USER_00320,169,1,7327.32
127,USER_00325,268,1,4313.2
128,USER_00326,340,2,6972.22
129,USER_00329,81,1,2424.38
130,USER_00330,306,1,8529.53
131,USER_00332,258,1,3057.14
132,USER_00334,318,1,1639.68
133,USER_00336,106,1,3511.6
134,USER_00339,55,1,1644.73
135,USER_00340,199,2,8192.04
136,USER_00348,127,1,3113.94
137,USER_00349,42,1,8064.4
138,USER_00354,285,1,7100.96
139,USER_00355,321,1,6573.55
140,USER_00357,246,1,4641.39
141,USER_00361,43,2,4960.54
142,USER_00362,187,1,5954.84
143,USER_00364,192,1,4389.17
144,USER_00365,75,1,6760.34
145,USER_00371,354,1,2910.3
146,USER_00373,337,1,9952.88
147,USER_00376,289,1,5468.22
148,USER_00379,171,1,8369.01
149,USER_00380,299,1,6505.29
150,USER_00382,162,2,13606.13
151,USER_00384,364,1,1440.26
152,USER_00387,338,1,4220.89
153,USER_00388,105,1,291.56
154,USER_00391,69,2,10196.83
155,USER_00392,27,1,6988.11
156,USER_00394,212,2,6677.610000000001
157,USER_00395,68,1,7263.55
158,USER_00399,273,1,1451.53
159,USER_00400,6,2,8170.53
160,USER_00403,50,2,9309.85
161,USER_00408,353,1,1266.71
162,USER_00411,32,1,1454.16
163,USER_00412,95,1,6501.5
164,USER_00414,221,2,8320.26
165,USER_00415,17,1,8202.44
166,USER_00416,234,1,5605.45
167,USER_00417,59,1,9374.44
168,USER_00419,211,1,3688.0
169,USER_00420,239,1,1626.49
170,USER_00421,195,2,6286.0
171,USER_00423,6,2,18413.33
172,USER_00425,315,1,9957.85
173,USER_00426,245,1,463.26
174,USER_00427,346,1,853.06
175,USER_00433,104,1,8564.81
176,USER_00434,364,1,3186.45
177,USER_00435,271,1,5758.14
178,USER_00440,245,1,6233.14
179,USER_00441,106,1,6352.79
180,USER_00444,120,1,5935.99
181,USER_00446,258,1,2013.18
182,USER_00449,14,4,19475.42
183,USER_00450,38,2,9820.0
184,USER_00461,48,1,924.01
185,USER_00462,151,1,5053.73
186,USER_00468,254,1,1379.37
187,USER_00472,53,1,7507.64
188,USER_00474,145,2,16581.77
189,USER_00478,25,1,2800.21
190,USER_00480,278,1,9736.75
191,USER_00482,155,1,7306.43
192,USER_00484,42,1,948.26
193,USER_00485,190,1,4144.96
194,USER_00491,261,1,2927.16
195,USER_00496,294,1,1721.93
196,USER_00498,90,2,9015.779999999999
197,USER_00499,301,1,8926.0
198,USER_00509,361,1,615.89
199,USER_00510,59,1,5896.44
200,USER_00511,83,1,9152.26
201,USER_00512,234,1,7473.07
202,USER_00514,350,1,6962.62
203,USER_00515,306,2,16469.25
204,USER_00518,61,1,761.18
205,USER_00520,280,1,3680.24
206,USER_00522,206,1,6393.17
207,USER_00523,119,1,6614.52
208,USER_00525,73,1,3287.8
209,USER_00527,256,2,8516.13
210,USER_00528,63,1,8051.22
211,USER_00530,329,1,5213.44
212,USER_00531,355,1,4637.33
213,USER_00532,351,1,945.04
214,USER_00534,84,1,6198.02
215,USER_00536,361,1,8716.7
216,USER_00540,119,2,7028.84
217,USER_00541,328,1,8639.85
218,USER_00543,157,1,9096.53
219,USER_00544,143,1,1366.08
220,USER_00550,183,1,6185.82
221,USER_00553,147,2,10266.28
222,USER_00554,7,3,17684.08
223,USER_00558,27,1,7114.16
224,USER_00559,321,1,4180.75
225,USER_00560,48,2,9536.710000000001
226,USER_00561,81,1,7156.55
227,USER_00562,132,3,14056.470000000001
228,USER_00566,169,1,1964.85
229,USER_00568,225,1,8524.57
230,USER_00569,90,1,2115.56
231,USER_00570,228,1,1652.35
232,USER_00571,178,1,7244.82
233,USER_00572,3,2,4245.59
234,USER_00576,176,1,6006.25
235,USER_00577,62,1,3644.63
236,USER_00578,64,1,9729.95
237,USER_00581,82,1,6665.29
238,USER_00585,84,1,9196.94
239,USER_00587,274,1,6604.06
240,USER_00589,307,1,9731.93
241,USER_00590,82,2,11600.21
242,USER_00591,298,1,4067.18
243,USER_00593,277,1,4953.91
244,USER_00595,246,2,12706.3
245,USER_00600,63,3,9693.62
246,USER_00605,151,1,7766.89
247,USER_00606,45,2,7514.219999999999
248,USER_00609,3,1,4164.74
249,USER_00611,245,1,7164.22
250,USER_00614,321,1,5107.48
251,USER_00615,261,1,7552.13
252,USER_00616,36,1,5782.94
253,USER_00621,302,1,2746.95
254,USER_00623,275,1,8117.41
255,USER_00624,133,1,6554.54
256,USER_00632,178,1,2816.67
257,USER_00633,234,1,7187.3
258,USER_00638,77,2,11699.91
259,USER_00639,299,1,6676.25
260,USER_00644,340,1,7260.05
261,USER_00646,266,1,7607.82
262,USER_00654,350,1,6107.51
263,USER_00655,8,1,389.23
264,USER_00659,10,2,10586.79
265,USER_00660,136,1,970.14
266,USER_00661,30,1,1707.12
267,USER_00663,15,2,12847.86
268,USER_00664,30,2,14347.3
269,USER_00666,306,1,9140.84
270,USER_00669,20,1,853.88
271,USER_00674,133,1,2028.68
272,USER_00676,75,2,3458.0200000000004
273,USER_00680,255,2,8208.119999999999
274,USER_00685,285,1,6970.44
275,USER_00687,245,1,7728.96
276,USER_00688,34,2,15593.63
277,USER_00691,92,2,10462.039999999999
278,USER_00694,68,2,12902.77
279,USER_00696,72,1,1829.27
280,USER_00698,351,1,3218.18
281,USER_00701,198,2,11370.51
282,USER_00702,277,1,56.17
283,USER_00708,30,2,5881.639999999999
284,USER_00712,307,1,5006.59
285,USER_00714,77,1,5401.66
286,USER_00715,27,1,9736.06
287,USER_00717,176,1,7537.42
288,USER_00720,30,2,8763.95
289,USER_00723,101,2,4951.82
290,USER_00724,254,2,11559.3
291,USER_00725,44,1,2379.47
292,USER_00728,153,1,6690.47
293,USER_00733,211,1,4396.65
294,USER_00736,98,1,6578.7
295,USER_00738,284,1,4977.6
296,USER_00740,175,1,1497.38
297,USER_00741,331,1,2145.74
298,USER_00744,165,1,5741.06
299,USER_00745,94,1,4090.13
300,USER_00747,282,2,6990.89
301,USER_00750,167,2,2376.8999999999996
302,USER_00752,176,1,8526.7
303,USER_00755,128,1,9159.42
304,USER_00758,185,1,1458.47
305,USER_00761,316,1,3220.93
306,USER_00766,23,1,8562.87
307,USER_00767,309,1,5319.72
308,USER_00772,136,1,3249.1
309,USER_00778,340,1,2843.19
310,USER_00786,146,1,6867.24
311,USER_00787,247,1,2116.79
312,USER_00788,57,2,13809.67
313,USER_00789,336,1,8484.46
314,USER_00793,259,1,2077.46
315,USER_00795,232,1,980.17
316,USER_00797,52,1,1470.8
317,USER_00798,324,1,811.48
318,USER_00800,227,1,4147.21
319,USER_00801,189,1,6389.34
320,USER_00804,13,2,5346.08
321,USER_00806,3,1,6213.07
322,USER_00808,261,1,8080.27
323,USER_00810,212,1,6927.2
324,USER_00811,267,1,5946.52
325,USER_00813,286,1,1004.3
326,USER_00815,174,1,9904.67
327,USER_00818,202,1,7820.72
328,USER_00824,149,1,1382.78
329,USER_00826,53,1,5942.82
330,USER_00830,333,1,8644.74
331,USER_00833,310,1,4504.46
332,USER_00836,359,1,8591.59
333,USER_00838,332,2,12292.169999999998
334,USER_00839,107,1,6754.74
335,USER_00842,270,1,8608.59
336,USER_00843,180,1,6216.4
337,USER_00846,142,1,1748.76
338,USER_00847,297,1,9838.46
339,USER_00848,236,1,5159.53
340,USER_00850,118,1,4591.95
341,USER_00855,229,1,9937.21
342,USER_00856,99,1,20.28
343,USER_00859,39,1,4646.47
344,USER_00863,140,2,13284.199999999999
345,USER_00864,112,1,8707.62
346,USER_00865,203,1,3675.05
347,USER_00868,62,2,16817.1
348,USER_00870,119,1,1765.97
349,USER_00871,163,1,8671.27
350,USER_00878,21,2,8856.77
351,USER_00882,281,1,2863.25
352,USER_00883,216,1,6002.3
353,USER_00885,325,1,957.38
354,USER_00886,350,1,6063.0
355,USER_00889,359,1,8739.5
356,USER_00892,215,1,2747.47
357,USER_00893,264,1,6841.41
358,USER_00898,350,1,1902.67
359,USER_00899,72,1,2375.81
360,USER_00900,333,1,3771.43
361,USER_00903,364,1,1267.71
362,USER_00907,61,1,5681.93
363,USER_00910,273,2,5095.08
364,USER_00914,211,1,130.85
365,USER_00916,333,2,7376.1900000000005
366,USER_00917,343,1,5400.65
367,USER_00921,176,1,6200.31
368,USER_00922,344,1,8175.45
369,USER_00926,337,1,6034.05
370,USER_00930,28,4,15965.26
371,USER_00931,238,1,1975.36
372,USER_00932,221,1,588.88
373,USER_00933,358,1,5060.4
374,USER_00943,139,1,779.55
375,USER_00945,102,2,11628.29
376,USER_00947,184,1,8440.15
377,USER_00948,68,3,20316.46
378,USER_00949,180,3,23748.91
379,USER_00950,174,3,12450.41
380,USER_00955,97,2,10330.54
381,USER_00957,254,1,5648.14
382,USER_00958,125,1,9161.59
383,USER_00959,65,1,454.74
384,USER_00963,153,1,7849.3
385,USER_00968,189,1,6037.11
386,USER_00969,140,2,7220.610000000001
387,USER_00973,175,2,8625.93
388,USER_00974,34,2,8623.23
389,USER_00975,359,1,3366.31
390,USER_00976,151,2,11700.27
391,USER_00977,75,1,542.76
392,USER_00978,274,1,30.09
393,USER_00979,136,1,1255.47
394,USER_00982,28,1,5384.84
395,USER_00983,178,1,5275.83
396,USER_00988,29,1,648.94
397,USER_00995,191,1,7616.88
398,USER_00996,306,1,6447.35
399,USER_01000,332,1,7166.43
400,USER_01003,214,2,14403.59
401,USER_01005,212,1,4559.03
402,USER_01006,109,1,182.44
403,USER_01008,252,1,3050.06
404,USER_01014,71,1,2569.86
405,USER_01016,60,1,1557.22
406,USER_01017,354,1,8409.93
407,USER_01018,22,2,10255.34
408,USER_01020,263,1,2632.65
409,USER_01021,242,1,310.42
410,USER_01026,72,2,11584.11
411,USER_01029,126,1,1695.32
412,USER_01030,197,1,6098.37
413,USER_01032,175,2,7467.290000000001
414,USER_01038,71,2,6729.540000000001
415,USER_01039,273,1,988.97
416,USER_01040,198,1,6067.85
417,USER_01041,315,1,9980.22
418,USER_01043,353,1,4931.17
419,USER_01047,316,1,9375.03
420,USER_01055,0,2,9841.08
421,USER_01056,200,1,2240.06
422,USER_01058,314,1,2330.76
423,USER_01059,155,1,7626.32
424,USER_01062,115,1,7592.01
425,USER_01065,71,1,570.94
426,USER_01067,68,1,4445.55
427,USER_01070,216,1,1387.4
428,USER_01071,136,1,4073.34
429,USER_01072,31,1,7053.77
430,USER_01078,334,1,9818.35
431,USER_01081,336,1,8363.57
432,USER_01082,14,1,4959.56
433,USER_01085,335,1,1139.75
434,USER_01086,61,2,8259.34
435,USER_01092,235,1,4278.24
436,USER_01094,13,1,4519.39
437,USER_01095,184,1,4090.7
438,USER_01097,272,1,723.56
439,USER_01098,66,1,5726.97
440,USER_01099,159,1,2724.78
441,USER_01102,51,1,2000.27
442,USER_01105,21,2,8893.61
443,USER_01106,12,1,3689.9
444,USER_01113,23,1,8383.54
445,USER_01116,104,1,7168.32
446,USER_01120,115,1,776.9
447,USER_01121,203,2,18375.88
448,USER_01124,297,1,786.68
449,USER_01129,11,1,3156.57
450,USER_01131,327,1,3738.82
451,USER_01136,86,1,565.51
452,USER_01142,84,1,3432.25
453,USER_01145,159,2,3507.92
454,USER_01147,188,1,6329.47
455,USER_01150,174,1,75.86
456,USER_01151,194,2,9821.9
457,USER_01152,300,1,8199.19
458,USER_01153,69,1,8815.9
459,USER_01154,129,1,6391.69
460,USER_01155,317,1,8602.87
461,USER_01157,21,2,13525.43
462,USER_01158,23,1,1365.14
463,USER_01159,184,1,3540.61
464,USER_01160,145,1,6058.59
465,USER_01161,13,1,8133.79
466,USER_01162,48,2,6240.97
467,USER_01163,300,1,9884.28
468,USER_01165,170,1,5223.3
469,USER_01166,188,1,6180.2
470,USER_01167,364,1,2699.87
471,USER_01168,76,1,1342.55
472,USER_01169,125,1,7623.59
473,USER_01170,45,2,17180.68
474,USER_01174,48,1,5730.94
475,USER_01175,152,1,6534.31
476,USER_01177,264,1,6734.68
477,USER_01179,29,1,6019.33
478,USER_01182,96,1,6845.55
479,USER_01185,58,1,7634.23
480,USER_01186,123,1,1915.91
481,USER_01187,187,1,2360.62
482,USER_01188,296,1,973.86
483,USER_01195,275,1,9523.22
484,USER_01196,358,1,9425.57
485,USER_01197,95,1,3521.03
486,USER_01200,319,1,5663.24
487,USER_01201,84,1,6943.34
488,USER_01204,258,2,7183.91
489,USER_01206,77,2,8614.210000000001
490,USER_01207,104,1,3307.98
491,USER_01209,121,2,7560.4
492,USER_01211,97,3,11160.36
493,USER_01213,109,2,15081.39
494,USER_01214,14,1,9853.72
495,USER_01217,8,1,1370.87
496,USER_01218,40,2,10479.73
497,USER_01219,286,1,9766.84
498,USER_01220,196,1,7683.13
499,USER_01221,324,1,7558.22
500,USER_01223,17,4,23524.42
501,USER_01224,209,1,2467.89
502,USER_01225,162,1,5825.14
503,USER_01226,246,1,4958.74
504,USER_01230,286,1,7413.44
505,USER_01232,250,1,2764.93
506,USER_01234,354,1,5324.86
507,USER_01235,211,1,4714.86
508,USER_01236,97,2,10231.16
509,USER_01237,174,1,441.24
510,USER_01238,334,1,1363.75
511,USER_01239,163,3,18313.480000000003
512,USER_01242,155,2,7995.02
513,USER_01243,40,2,290.13
514,USER_01245,26,3,11354.310000000001
515,USER_01249,219,2,17868.81
516,USER_01250,37,1,9115.27
517,USER_01252,48,1,4868.34
518,USER_01254,18,1,6413.07
519,USER_01255,22,1,5431.11
520,USER_01259,156,1,6011.13
521,USER_01264,132,1,8977.43
522,USER_01265,10,1,5835.37
523,USER_01268,358,1,3692.3
524,USER_01269,66,2,9950.16
525,USER_01271,133,1,9828.56
526,USER_01273,76,1,2828.11
527,USER_01275,113,1,2309.44
528,USER_01278,39,1,656.39
529,USER_01284,2,1,2960.76
530,USER_01286,229,1,9979.68
531,USER_01288,309,1,9409.16
532,USER_01293,73,2,6559.29
533,USER_01294,9,2,13084.67
534,USER_01295,107,1,8188.09
535,USER_01300,146,1,9566.78
536,USER_01301,97,2,6544.99
537,USER_01305,19,1,3555.29
538,USER_01306,341,1,1741.88
539,USER_01307,239,1,7078.11
540,USER_01308,234,1,8784.99
541,USER_01311,125,2,9836.36
542,USER_01313,63,1,9569.23
543,USER_01315,6,2,4216.71
544,USER_01316,206,2,9611.17
545,USER_01317,360,1,1422.16
546,USER_01321,153,1,7179.11
547,USER_01322,84,1,6750.86
548,USER_01326,297,1,8670.77
549,USER_01327,117,2,8399.220000000001
550,USER_01328,50,1,6264.83
551,USER_01330,117,1,3055.56
552,USER_01334,55,1,4074.15
553,USER_01336,199,1,9501.58
554,USER_01346,80,1,408.88
555,USER_01349,32,1,5854.09
556,USER_01354,312,1,8165.97
557,USER_01355,159,2,17970.33
558,USER_01357,348,1,66.4
559,USER_01358,296,1,1567.81
560,USER_01359,265,1,8137.98
561,USER_01360,215,2,12772.67
562,USER_01361,115,1,3157.06
563,USER_01362,30,1,9855.17
564,USER_01363,40,1,5130.1
565,USER_01364,51,1,1911.71
566,USER_01366,214,1,9120.72
567,USER_01369,17,1,3154.42
568,USER_01370,84,1,5619.74
569,USER_01371,289,1,4671.72
570,USER_01373,65,1,6672.52
571,USER_01374,185,1,2356.24
572,USER_01376,245,1,4396.04
573,USER_01377,285,1,6178.35
574,USER_01379,193,2,9215.51
575,USER_01380,185,1,3363.5
576,USER_01382,179,2,8189.85
577,USER_01390,256,1,437.11
578,USER_01395,120,2,5111.42
579,USER_01400,168,1,1831.64
580,USER_01402,164,1,2166.42
581,USER_01404,19,2,19362.66
582,USER_01405,31,1,9032.49
583,USER_01406,158,1,9013.02
584,USER_01410,319,1,8644.67
585,USER_01417,185,1,2469.59
586,USER_01420,111,2,16687.61
587,USER_01422,19,2,6078.52
588,USER_01426,270,1,5592.73
589,USER_01429,5,1,7785.06
590,USER_01431,361,1,8108.09
591,USER_01432,349,1,3760.0
592,USER_01433,207,1,6694.52
593,USER_01437,103,2,13256.39
594,USER_01438,355,1,808.63
595,USER_01439,162,1,5659.58
596,USER_01441,15,1,2455.35
597,USER_01443,9,1,2164.76
598,USER_01444,166,1,5730.81
599,USER_01446,117,1,1310.92
600,USER_01450,95,1,1465.47
601,USER_01453,123,1,2815.38
602,USER_01455,260,1,2471.17
603,USER_01456,343,1,6744.94
604,USER_01459,77,1,2038.27
605,USER_01460,233,1,4853.61
606,USER_01461,109,1,2709.35
607,USER_01462,85,1,5877.3
608,USER_01465,139,1,5131.57
609,USER_01467,259,2,7259.3099999999995
610,USER_01469,225,2,9048.17
611,USER_01473,363,1,3090.15
612,USER_01477,231,1,919.63
613,USER_01478,72,2,18874.54
614,USER_01480,238,2,8087.49
615,USER_01485,71,1,428.44
616,USER_01487,55,2,9650.2
617,USER_01489,101,2,12545.09
618,USER_01492,70,1,7856.82
619,USER_01496,355,1,5436.1
620,USER_01502,26,2,4107.3
621,USER_01503,249,2,2851.05
622,USER_01505,335,1,5291.45
623,USER_01506,85,1,95.13
624,USER_01507,3,1,7673.86
625,USER_01518,63,1,8934.63
626,USER_01523,171,2,13304.04
627,USER_01524,192,2,11453.23
628,USER_01527,141,3,17943.449999999997
629,USER_01530,78,1,6710.25
630,USER_01533,213,1,7882.47
631,USER_01534,60,2,8439.970000000001
632,USER_01535,287,1,8368.02
633,USER_01536,98,1,8235.6
634,USER_01538,56,2,10383.560000000001
635,USER_01540,79,3,14098.28
636,USER_01541,191,1,5224.79
637,USER_01543,85,3,12557.12
638,USER_01544,125,2,16628.58
639,USER_01546,138,2,19078.449999999997
640,USER_01549,252,1,6383.73
641,USER_01550,124,1,3308.51
642,USER_01551,290,1,6102.61
643,USER_01557,183,1,1347.39
644,USER_01559,168,1,836.56
645,USER_01562,114,2,15301.869999999999
646,USER_01567,274,1,9618.29
647,USER_01568,46,1,7445.61
648,USER_01569,361,1,3424.46
649,USER_01571,143,1,5316.21
650,USER_01572,120,1,2929.35
651,USER_01575,133,1,9799.11
652,USER_01577,123,1,9862.83
653,USER_01578,44,1,2646.94
654,USER_01579,242,1,4255.47
655,USER_01580,37,1,170.64
656,USER_01583,33,1,6494.46
657,USER_01585,24,1,8495.8
658,USER_01587,328,2,4570.86
659,USER_01592,83,1,4064.46
660,USER_01595,30,1,637.88
661,USER_01602,187,2,9768.210000000001
662,USER_01603,20,3,16084.14
663,USER_01608,88,4,15838.73
664,USER_01609,139,1,4323.5
665,USER_01618,94,1,3752.87
666,USER_01622,199,1,2668.13
667,USER_01623,196,1,7417.1
668,USER_01625,137,2,17468.49
669,USER_01628,37,2,16418.149999999998
670,USER_01630,289,1,1224.97
671,USER_01631,9,1,4752.8
672,USER_01634,150,1,9906.84
673,USER_01635,0,1,5522.25
674,USER_01638,333,1,2457.12
675,USER_01639,301,1,2028.8
676,USER_01640,99,1,7862.57
677,USER_01644,144,1,6484.39
678,USER_01647,335,1,6936.98
679,USER_01648,52,2,9674.52
680,USER_01649,49,2,9641.03
681,USER_01650,124,1,2156.31
682,USER_01654,329,1,1764.68
683,USER_01655,140,2,6921.8099999999995
684,USER_01658,347,1,5652.04
685,USER_01659,200,1,8228.93
686,USER_01664,41,2,14921.01
687,USER_01666,239,1,9781.75
688,USER_01671,139,1,5398.85
689,USER_01672,51,1,2376.78
690,USER_01675,309,1,2275.05
691,USER_01682,240,1,9367.69
692,USER_01687,17,2,17608.45
693,USER_01689,29,3,18455.49
694,USER_01690,241,2,7576.81
695,USER_01692,193,1,2412.97
696,USER_01693,266,1,7375.09
697,USER_01694,1,2,12376.5
698,USER_01695,56,1,1645.27
699,USER_01696,90,1,9245.7
700,USER_01698,329,2,7923.45
701,USER_01703,94,1,3709.92
702,USER_01705,352,1,4045.53
703,USER_01706,183,1,4129.22
704,USER_01710,217,1,4313.49
705,USER_01713,14,1,1222.23
706,USER_01718,99,1,5905.46
707,USER_01721,325,1,3945.67
708,USER_01723,72,1,9752.04
709,USER_01733,106,1,602.14
710,USER_01734,131,1,2872.59
711,USER_01736,282,1,9212.26
712,USER_01737,136,1,7451.81
713,USER_01738,299,1,159.14
714,USER_01743,13,1,7714.86
715,USER_01745,73,2,5911.5599999999995
716,USER_01746,162,1,6185.16
717,USER_01747,130,3,17511.11
718,USER_01749,335,1,694.38
719,USER_01750,295,1,6841.71
720,USER_01754,118,1,1346.37
721,USER_01757,76,1,7451.66
722,USER_01760,63,1,3106.63
723,USER_01761,26,1,6749.2
724,USER_01763,7,1,7816.53
725,USER_01767,148,1,7899.41
726,USER_01768,80,1,7490.86
727,USER_01769,364,1,9202.63
728,USER_01773,0,1,2647.52
729,USER_01776,107,1,7100.26
730,USER_01777,265,1,7126.14
731,USER_01781,8,1,8709.11
732,USER_01782,223,2,11716.8
733,USER_01784,22,2,11768.51
734,USER_01786,203,1,5714.37
735,USER_01794,67,1,295.82
736,USER_01795,189,1,9521.49
737,USER_01799,172,1,6336.94
738,USER_01803,180,1,669.4
739,USER_01804,334,1,2787.76
740,USER_01813,278,1,3246.7
741,USER_01818,10,2,8978.380000000001
742,USER_01822,321,1,1366.02
743,USER_01825,291,1,5069.05
744,USER_01829,111,2,6694.79
745,USER_01834,135,1,3239.86
746,USER_01836,328,1,4646.78
747,USER_01837,221,2,9179.9
748,USER_01839,363,1,5140.78
749,USER_01841,214,1,5295.94
750,USER_01842,53,1,8141.41
751,USER_01843,0,2,12942.58
752,USER_01846,34,2,6779.530000000001
753,USER_01847,174,2,10394.21
754,USER_01848,209,1,7910.65
755,USER_01849,194,1,8483.81
756,USER_01854,342,1,4992.53
757,USER_01855,230,1,4199.17
758,USER_01859,23,2,11497.56
759,USER_01860,142,1,4366.21
760,USER_01863,54,1,9706.08
761,USER_01866,217,1,6717.79
762,USER_01868,360,1,9128.09
763,USER_01871,79,1,2998.66
764,USER_01872,288,1,5279.0
765,USER_01875,186,1,9779.34
766,USER_01877,174,1,4451.36
767,USER_01878,237,1,2392.89
768,USER_01879,237,1,4851.03
769,USER_01881,310,1,8939.65
770,USER_01882,319,1,1172.24
771,USER_01885,124,1,4087.17
772,USER_01888,35,1,6707.06
773,USER_01893,113,2,10398.23
774,USER_01896,208,1,1562.78
775,USER_01897,47,1,9451.72
776,USER_01898,65,2,12399.45
777,USER_01900,34,1,24.2
778,USER_01901,55,1,9116.92
779,USER_01903,326,1,9644.72
780,USER_01904,162,1,3502.52
781,USER_01905,55,1,2823.68
782,USER_01906,66,1,1834.83
783,USER_01907,229,1,1229.91
784,USER_01909,116,1,3049.7
785,USER_01911,227,1,1036.21
786,USER_01919,248,1,4898.64
787,USER_01926,140,2,15566.09
788,USER_01928,80,1,1378.38
789,USER_01929,31,1,6554.81
790,USER_01930,134,2,18990.57
791,USER_01934,309,1,6022.05
792,USER_01936,136,2,14639.16
793,USER_01942,106,1,8559.02
794,USER_01943,272,1,9651.87
795,USER_01944,364,1,9421.81
796,USER_01945,44,1,7301.15
797,USER_01947,197,2,11344.859999999999
798,USER_01949,1,1,9799.91
799,USER_01950,52,1,1578.21
800,USER_01953,235,1,5452.71
801,USER_01958,130,2,3962.62
802,USER_01964,54,2,11920.619999999999
803,USER_01965,4,1,1570.84
804,USER_01968,223,1,7111.16
805,USER_01970,278,1,9274.6
806,USER_01976,181,1,7876.69
807,USER_01977,120,1,6312.97
808,USER_01978,208,1,1384.78
809,USER_01980,207,2,8346.2
810,USER_01981,159,1,6484.33
811,USER_01983,152,3,19115.010000000002
812,USER_01984,162,1,7053.16
813,USER_01985,154,1,8010.26
814,USER_01986,203,1,8782.39
815,USER_01987,194,1,5618.85
816,USER_01988,229,1,607.07
